strategy,fold_label,train_size,test_size,accuracy,f1_score,roc_auc,best_threshold,true_negatives,false_positives,false_negatives,true_positives
skf,fold_1,799,200,0.94,0.5714285714285714,0.6848404255319147,0.5000000000000001,180,8,4,8
skf,fold_2,799,200,0.93,0.46153846153846156,0.8089539007092199,0.5500000000000002,180,8,6,6
skf,fold_3,799,200,0.9,0.47368421052631576,0.8204787234042552,0.5000000000000001,171,17,3,9
skf,fold_4,799,200,0.955,0.6086956521739131,0.9224290780141844,0.25000000000000006,184,4,5,7
skf,fold_5,800,199,0.914572864321608,0.37037037037037035,0.6417112299465242,0.40000000000000013,177,10,7,5
