strategy,fold_label,train_size,test_size,accuracy,f1_score,roc_auc,best_threshold,true_negatives,false_positives,false_negatives,true_positives
gkf,group_1,902,97,0.865979381443299,0.48,0.7558823529411764,0.30000000000000004,78,7,6,6
gkf,group_2,912,87,0.8045977011494253,0.5405405405405406,0.8003913894324853,0.1,60,13,4,10
gkf,group_3,911,88,0.875,0.47619047619047616,0.7195767195767196,0.40000000000000013,72,9,2,5
gkf,group_4,903,96,0.8125,0.4375,0.6359375,0.1,71,9,9,7
gkf,group_5,368,631,0.9730586370839936,0.48484848484848486,0.8872434017595308,0.3500000000000001,606,14,3,8
