strategy,fold_label,train_size,test_size,accuracy,f1_score,roc_auc,best_threshold,true_negatives,false_positives,false_negatives,true_positives
SKF,fold_1,131,33,0.696969696969697,0.4444444444444444,0.787037037037037,0.6949188113212585,19,5,5,4
SKF,fold_2,131,33,0.7878787878787878,0.5333333333333333,0.8564814814814814,0.5400112867355347,22,2,5,4
SKF,fold_3,131,33,0.7272727272727273,0.47058823529411764,0.7870370370370371,0.605667769908905,20,4,5,4
SKF,fold_4,131,33,0.7575757575757576,0.5,0.736111111111111,0.6104200482368469,21,3,5,4
SKF,fold_5,132,32,0.78125,0.36363636363636365,0.7729468599033816,0.6966937780380249,23,0,7,2
