fold,train_size,test_size,accuracy,f1_score,roc_auc,best_threshold,true_negatives,false_positives,false_negatives,true_positives
1,222,56,0.9285714285714286,0.0,0.6971153846153846,0.8013498783111572,52,0,4,0
2,222,56,0.9285714285714286,0.0,0.5961538461538461,0.7947907447814941,52,0,4,0
3,222,56,0.9285714285714286,0.3333333333333333,0.6586538461538461,0.7061433792114258,51,1,3,1
4,223,55,0.9272727272727272,0.0,0.6176470588235294,0.7672849297523499,51,0,4,0
5,223,55,0.9272727272727272,0.0,0.4068627450980392,0.8965170383453369,51,0,4,0
