,QB (Round 1),,,,,
49,2014,20,Brandin Cooks,Saints,,
50,2014,28,Kelvin Benjamin,Panthers,,
51,2013,8,Tavon Austin,Rams,,
52,2013,27,DeAndre Hopkins,Texans,,
53,2013,29,Cordarrelle Patterson,Vikings,,
54,2012,5,Justin Blackmon,Jaguars,,
55,2012,13,Michael Floyd,Cardinals,,
56,2012,20,Kendall Wright,Titans,,
57,2012,30,A.J. Jenkins,49ers,,
58,2011,4,A.J. Green,Bengals,,
59,2011,6,Julio Jones,Falcons,,
60,2011,26,Jonathan Baldwin,Chiefs,,
61,2010,22,Demaryius Thomas,Broncos,,
62,2010,24,Dez Bryant,Cowboys,,
63,2012,20,Kendall Wright,Titans,,
64,2012,30,A.J. Jenkins,49ers,,
65,2011,4,A.J. Green,Bengals,,
66,2011,6,Julio Jones,Falcons,,
67,2011,26,Jonathan Baldwin,Chiefs,,
68,2010,22,Demaryius Thomas,Broncos,,
69,2010,24,Dez Bryant,Cowboys,,
